title,author,publisher,series,sales_date,isbn,price,item_url,image_url,description,availability
岩波新書の歴史,鹿野政直 著,岩波書店,岩波新書,2006.5,4004390095,990,https://books.rakuten.co.jp/rb/4044215/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0043/00439009.jpg,一九三八年に創刊された岩波新書は、それまでの学術・古典を中心とした岩波書店の出版活動に、現代への視点という新たな方向を打ちだしたものであった。以来、赤版、青版、黄版、新赤版と装いを変えながら、二五〇〇冊余を刊行してきた。時代に鋭く切りこんだ話題作をはじめ、定評ある教養書等を生みだしたそのあゆみを概観する。,1
岩波新書で「戦後」をよむ,"小森陽一, 成田龍一, 本田由紀 著",岩波書店,岩波新書 新赤版 ; 別冊11,2015.7,9784004390114,1034,https://books.rakuten.co.jp/rb/13324705/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0114/9784004390114.jpg,戦争が終結して七〇年、日本の何が変わり、何が変わらなかったのか。戦後の知は何を問うてきたのか。時代の経験と「空気」が深く刻み込まれた二一冊の岩波新書を、文学者・歴史学者・社会学者が読み解くことで、今を生きる私たちにとっての「戦後」の意味を塗り替えていく。現在と歴史の往還の中で交わされた徹底討議！,1
岩波新書解説総目録 : 1938-2019,岩波新書編集部 編,岩波書店,岩波新書 新赤版 ; 別冊12,2020.6,9784004390121,1100,https://books.rakuten.co.jp/rb/16300784/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0121/9784004390121.jpg,"一九三八年の創刊以来、三四〇〇点あまり刊行されてきた岩波新書。本書は、その八〇年の歩みのなかで初めて編まれた総目録である。一九三八〜一九四六年の赤版、一九四九〜一九七七年の青版、一九七七〜一九八七年の黄版、一九八八年から現在にいたる新赤版まで。そのラインナップを刊行順に配列し内容解説文を付す。
はじめに

赤　版　（一九三八年一一月〜一九四六年一〇月）
青　版　（一九四九年四月〜一九七七年四月）
黄　版　（一九七七年五月〜一九八七年一二月）
新赤版　（一九八八年一月〜　）

付　録　刊行の辞
索　引　（書名索引／著訳編者名索引）",1
岩波新書をよむ : ブックガイド+総目録,岩波書店編集部 編,岩波書店,岩波新書,1998.1,4004390052,704,https://books.rakuten.co.jp/rb/945135/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0053/9784004390053.jpg,岩波新書のガイドブック。現代社会の概観、歴史の探索、実用的なガイド、個人史と読書遍歴など、作家・研究者・ジャーナリストらが提案する２９のテーマ別読み方を紹介するブックガイドと、１９３８年の創刊から６０年間に刊行された２０００余点を掲載した目録で構成される。目録は、刊行順に配列し、刊行月日、通し番号、分類番号、ジャンル名、書名、著者・訳者・編者などを掲載。著訳編者名索引、書名索引付き。,1
夢,宮城音弥 著,岩波書店,岩波新書,1972.12(第33刷:2000.1),4004120675,726,https://books.rakuten.co.jp/rb/93248/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0674/9784004120674.jpg,,1
商人,永六輔 著,岩波書店,岩波新書,1998.4,4004305578,836,https://books.rakuten.co.jp/rb/967303/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0043/00430557.jpg,「つくるのは、努力をすれば誰でもできますが、売るとなると、才覚がありませんとね」「屏風と店は、拡げると倒れやすくなります」「“約束を守る”“嘘をつかない”“言いわけをしない”。この三つにつきまんな」-思わず膝をたたき、ときにハッとさせられる智恵の言葉の数々。語録・対談・講演録で構成する六輔ワールド、いよいよフィナーレ。,1
密教,松長有慶 著,岩波書店,岩波新書,1991.7,4004301793,1122,https://books.rakuten.co.jp/rb/479169/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1790/9784004301790.jpg,自己の発見としての厳しい行、多くの人を限りなく魅了する曼荼羅。密教は、日本文化にも多大な影響を与えてきた。密教研究の第一人者で、チベット、ネパール、インド、パキスタンなどへ密教の源流をもとめて調査を重ねてきた著者が、密教の歴史、思想、実践、シンボリズム等をやさしく語り、その現代における意味を問う。,1
大臣,菅直人 著,岩波書店,岩波新書,1998.5,4004305586,704,https://books.rakuten.co.jp/rb/977067/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5583/9784004305583.jpg,国民主権を真に実現するために、大臣は何をすべきかー。１９９６年１月、橋本内閣の厚生大臣に就任。薬害エイズ、Ｏ１５７などの課題に臨むなかで、何を考え、どう動いたか。「サイン会」と化している閣議の実態など「大臣」の仕事を公開し、憲法論議をふまえて、大臣、内閣、国会の本来の役割と、日本の政治の目指すべき姿を説く。,1
弔辞,新藤兼人 著,岩波書店,岩波新書,1998.2,4004305470,704,https://books.rakuten.co.jp/rb/951615/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/noimage_01.gif,人生で出会った人たちの、それぞれの生き方、死に方。杉村春子、勝新太郎、絲屋寿雄、松本清張、横井庄一など８人に捧げる弔いの言葉。,1
華僑,斯波義信 著,岩波書店,岩波新書,1995.3,4004303826,814,https://books.rakuten.co.jp/rb/715884/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3824/9784004303824.jpg,東南アジアを中心に、世界各地に広がる華僑たち。彼らはいつどのように移住・定着し、いまどのような状況にあるのか。一六世紀以降に本格的に展開する華僑社会は、受容する社会の性格に応じて、独自の摩擦・競合・同化の過程をたどった。その諸相を立体的に分析し、さらに近代・現代の状況をあきらかにする待望の書。,1
職人,永六輔 著,岩波書店,岩波新書,1996.10,4004304644,814,https://books.rakuten.co.jp/rb/837458/?rafcid=wsc_b_bs_1023124763673215282,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0043/00430464.jpg,"はじめに──地鎮祭

1　語る賤がありますねェ」

2　怒る・叱る──「怒ってなきゃダメだよ、年寄りは」

3　つきあう──「必要なものは高くても買うのが買物です」

4　訪ねる──「使い込んでこそ美しい」

5　受け継ぐ──「職人大学学生諸君！」

おわりに──竣工式",1
